,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,Class
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,negative
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22,negative
2,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22,negative
3,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22,negative
4,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,negative
5,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22,negative
6,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34,negative
7,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,negative
8,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3,negative
9,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27,negative
10,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29,negative
11,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25,negative
12,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,negative
13,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22,negative
14,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,negative
15,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,negative
16,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25,negative
17,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,negative
18,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,negative
19,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22,negative
20,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22,negative
21,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22,negative
22,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22,negative
23,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,negative
24,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22,negative
25,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22,negative
26,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33,positive
27,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,negative
28,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22,negative
29,0.38,0.61,0.61,0.12,0.5,0.0,0.53,0.47,negative
30,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,negative
31,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,positive
32,0.74,0.67,0.47,0.34,0.5,0.0,0.42,0.22,negative
33,0.4,0.45,0.57,0.18,0.5,0.0,0.56,0.26,negative
34,0.59,0.53,0.43,0.44,0.5,0.0,0.5,0.22,negative
35,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,negative
36,0.86,0.68,0.39,0.24,0.5,0.0,0.54,0.22,negative
37,0.86,0.74,0.51,0.4,0.5,0.0,0.55,0.22,negative
38,0.37,0.36,0.56,0.18,0.5,0.0,0.48,0.26,negative
39,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,negative
40,0.49,0.39,0.52,0.29,0.5,0.0,0.48,0.22,negative
41,0.74,0.57,0.51,0.28,0.5,0.0,0.58,0.22,negative
42,0.42,0.24,0.34,0.16,0.5,0.0,0.5,0.22,negative
43,0.48,0.39,0.51,0.21,0.5,0.0,0.52,0.28,negative
44,0.45,0.46,0.55,0.43,0.5,0.0,0.55,0.38,negative
45,0.56,0.48,0.58,0.27,0.5,0.0,0.51,0.22,negative
46,0.64,0.59,0.56,0.23,0.5,0.0,0.46,0.22,negative
47,0.66,0.62,0.49,0.1,0.5,0.0,0.49,0.22,negative
48,0.38,0.49,0.53,0.19,0.5,0.0,0.5,0.22,negative
49,0.45,0.58,0.48,0.67,0.5,0.0,0.52,0.22,negative
50,0.37,0.32,0.47,0.18,0.5,0.0,0.45,0.25,negative
51,0.41,0.46,0.59,0.19,0.5,0.0,0.58,0.27,negative
52,0.54,0.48,0.44,0.08,0.5,0.0,0.52,0.27,negative
53,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,negative
54,0.34,0.46,0.57,0.09,0.5,0.0,0.55,0.22,negative
55,0.48,0.54,0.55,0.12,0.5,0.0,0.51,0.22,negative
56,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,negative
57,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,negative
58,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,negative
59,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,negative
60,0.45,0.55,0.54,0.66,0.5,0.0,0.47,0.22,negative
61,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,negative
62,0.49,0.42,0.56,0.55,0.5,0.0,0.42,0.25,negative
63,0.63,0.53,0.54,0.4,0.5,0.0,0.5,0.22,negative
64,0.5,0.54,0.53,0.54,0.5,0.0,0.51,0.27,negative
65,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,negative
66,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,negative
67,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,negative
68,0.51,0.54,0.6,0.57,0.5,0.0,0.58,0.22,negative
69,0.54,0.52,0.63,0.37,0.5,0.0,0.46,0.22,negative
70,0.67,0.62,0.4,0.43,0.5,0.83,0.5,0.22,negative
71,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,negative
72,0.39,0.44,0.35,0.16,0.5,0.0,0.55,0.22,negative
73,0.8,0.63,0.45,0.29,0.5,0.0,0.51,0.22,negative
74,0.5,0.52,0.59,0.3,0.5,0.0,0.51,0.35,negative
75,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,negative
76,0.33,0.43,0.64,0.16,0.5,0.0,0.52,0.52,negative
77,0.49,0.61,0.49,0.25,0.5,0.0,0.5,0.28,negative
78,0.38,0.5,0.37,0.26,0.5,0.0,0.43,0.22,negative
79,0.69,0.7,0.52,0.36,0.5,0.0,0.46,0.22,negative
80,0.61,0.72,0.39,0.33,0.5,0.0,0.58,0.22,negative
81,0.78,0.75,0.4,0.28,0.5,0.0,0.53,0.22,negative
82,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,negative
83,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,negative
84,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,negative
85,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,negative
86,0.48,0.23,0.57,0.27,0.5,0.0,0.48,0.47,negative
87,0.47,0.39,0.55,0.24,0.5,0.0,0.47,0.22,negative
88,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,negative
89,0.42,0.35,0.54,0.18,0.5,0.0,0.56,0.22,negative
90,0.3,0.56,0.55,0.18,0.5,0.0,0.5,0.22,negative
91,0.65,0.65,0.52,0.16,0.5,0.0,0.6,0.22,negative
92,0.27,0.6,0.48,0.23,0.5,0.0,0.55,0.22,negative
93,0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,negative
94,0.44,0.52,0.41,0.23,0.5,0.0,0.51,0.22,negative
95,0.4,0.44,0.49,0.47,0.5,0.0,0.49,0.27,negative
96,0.59,0.67,0.56,0.41,0.5,0.0,0.47,0.22,negative
97,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,negative
98,0.35,0.52,0.48,0.22,0.5,0.0,0.26,0.22,negative
99,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,negative
100,0.55,0.53,0.55,0.46,0.5,0.0,0.52,0.22,negative
101,0.67,0.62,0.54,0.43,0.5,0.0,0.53,0.22,negative
102,0.59,0.6,0.49,0.43,0.5,0.0,0.53,0.31,negative
103,0.58,0.62,0.54,0.17,0.5,0.0,0.48,0.22,negative
104,0.4,0.38,0.53,0.16,0.5,0.0,0.52,0.27,negative
105,0.53,0.51,0.55,0.05,0.5,0.0,0.45,0.25,negative
106,0.41,0.4,0.59,0.47,0.5,0.0,0.48,0.43,negative
107,0.5,0.64,0.57,0.15,0.5,0.0,0.47,0.22,negative
108,0.4,0.62,0.52,0.31,0.5,0.0,0.49,0.31,negative
109,0.6,0.5,0.57,0.25,0.5,0.0,0.41,0.26,negative
110,0.35,0.58,0.54,0.16,0.5,0.0,0.51,0.22,negative
111,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,negative
112,0.39,0.58,0.5,0.26,0.5,0.0,0.54,0.59,negative
113,0.48,0.54,0.5,0.17,0.5,0.0,0.53,0.22,negative
114,0.29,0.32,0.58,0.15,0.5,0.0,0.5,0.3,negative
115,0.47,0.32,0.64,0.3,0.5,0.0,0.63,0.22,negative
116,0.58,0.48,0.51,0.47,0.5,0.0,0.55,0.22,negative
117,0.37,0.46,0.4,0.27,0.5,0.0,0.45,0.22,negative
118,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,negative
119,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,negative
120,0.51,0.34,0.5,0.19,0.5,0.0,0.5,0.22,negative
121,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,negative
122,0.44,0.39,0.53,0.14,0.5,0.0,0.54,0.44,negative
123,0.41,0.39,0.44,0.34,0.5,0.0,0.48,0.4,negative
124,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,negative
125,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,negative
126,0.42,0.31,0.5,0.15,0.5,0.0,0.53,0.22,negative
127,0.42,0.43,0.56,0.1,0.5,0.0,0.49,0.22,negative
128,0.67,0.71,0.52,0.65,0.5,0.0,0.53,0.36,negative
129,0.49,0.47,0.53,0.16,0.5,0.0,0.48,0.27,negative
130,0.71,0.59,0.48,0.43,0.5,0.0,0.59,0.22,negative
131,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,negative
132,0.54,0.49,0.49,0.2,0.5,0.0,0.52,0.22,negative
133,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,negative
134,0.57,0.51,0.53,0.18,0.5,0.0,0.56,0.25,negative
135,0.35,0.45,0.43,0.11,0.5,0.0,0.56,0.22,negative
136,0.42,0.42,0.42,0.2,0.5,0.0,0.49,0.22,negative
137,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,negative
138,0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,negative
139,0.31,0.44,0.53,0.23,0.5,0.0,0.51,0.32,negative
140,0.48,0.61,0.44,0.2,0.5,0.0,0.47,0.22,negative
141,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,negative
142,0.21,0.41,0.55,0.11,0.5,0.0,0.5,0.27,negative
143,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,negative
144,0.49,0.31,0.49,0.35,0.5,0.0,0.51,0.29,negative
145,0.38,0.37,0.56,0.21,0.5,0.0,0.49,0.22,negative
146,0.24,0.34,0.69,0.18,0.5,0.0,0.52,0.22,negative
147,0.49,0.43,0.51,0.13,0.5,0.0,0.47,0.22,negative
148,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,negative
149,0.43,0.57,0.53,0.53,0.5,0.0,0.53,0.25,negative
150,0.31,0.55,0.52,0.17,0.5,0.0,0.52,0.22,negative
151,0.32,0.42,0.52,0.24,0.5,0.0,0.6,0.22,negative
152,0.59,0.5,0.52,0.28,0.5,0.0,0.55,0.25,negative
153,0.37,0.42,0.51,0.11,0.5,0.0,0.57,0.22,negative
154,0.75,0.7,0.38,0.27,0.5,0.0,0.49,0.22,positive
155,0.61,0.72,0.31,0.33,0.5,0.0,0.56,0.22,negative
156,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,negative
157,0.63,0.56,0.45,0.58,0.5,0.0,0.51,0.22,negative
158,0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,negative
159,0.58,0.58,0.58,0.49,0.5,0.0,0.49,0.26,negative
160,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,negative
161,0.72,0.61,0.37,0.3,0.5,0.0,0.57,0.22,negative
162,0.57,0.57,0.44,0.37,0.5,0.0,0.52,0.25,negative
163,0.42,0.31,0.62,0.12,0.5,0.0,0.4,0.22,negative
164,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,negative
165,0.42,0.58,0.41,0.65,0.5,0.0,0.46,0.26,negative
166,0.59,0.61,0.34,0.22,0.5,0.0,0.51,0.22,negative
167,0.5,0.52,0.6,0.51,0.5,0.0,0.48,0.22,negative
168,0.49,0.6,0.43,0.56,0.5,0.0,0.36,0.22,negative
169,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,negative
170,0.37,0.58,0.44,0.51,0.5,0.0,0.44,0.22,negative
171,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,negative
172,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,negative
173,0.35,0.66,0.49,0.21,0.5,0.0,0.54,0.25,negative
174,0.52,0.4,0.6,0.12,0.5,0.0,0.55,0.22,negative
175,0.77,0.79,0.58,0.23,0.5,0.0,0.48,0.22,negative
176,0.73,0.83,0.43,0.3,0.5,0.0,0.55,0.22,positive
177,0.7,0.65,0.54,0.28,0.5,0.0,0.6,0.4,negative
178,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,negative
179,0.57,0.41,0.59,0.24,0.5,0.0,0.4,0.22,negative
180,0.56,0.41,0.58,0.21,0.5,0.0,0.42,0.22,negative
181,0.58,0.56,0.45,0.12,0.5,0.0,0.51,0.22,negative
182,0.53,0.38,0.66,0.25,0.5,0.0,0.43,0.22,negative
183,0.34,0.36,0.54,0.11,0.5,0.0,0.36,0.21,negative
184,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,negative
185,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,negative
186,0.31,0.46,0.54,0.52,0.5,0.0,0.5,0.34,negative
187,0.36,0.37,0.33,0.14,0.5,0.0,0.57,0.31,negative
188,0.82,0.78,0.49,0.23,0.5,0.0,0.46,0.22,negative
189,0.82,0.75,0.54,0.23,0.5,0.0,0.46,0.22,negative
190,0.41,0.51,0.58,0.15,0.5,0.0,0.45,0.27,negative
191,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,negative
192,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,negative
193,0.53,0.44,0.51,0.33,0.5,0.0,0.52,0.22,negative
194,0.4,0.56,0.48,0.14,0.5,0.0,0.47,0.22,negative
195,0.53,0.53,0.6,0.13,0.5,0.0,0.49,0.22,negative
196,0.42,0.57,0.72,0.22,0.5,0.0,0.57,0.22,negative
197,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,negative
198,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,negative
199,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,negative
200,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,negative
201,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,negative
202,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,negative
203,0.59,0.58,0.56,0.21,0.5,0.0,0.54,0.33,negative
204,0.39,0.28,0.46,0.12,0.5,0.0,0.41,0.22,negative
205,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,negative
206,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,negative
207,0.35,0.4,0.59,0.22,0.5,0.0,0.47,0.37,negative
208,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,negative
209,0.23,0.2,0.53,0.2,0.5,0.0,0.44,0.22,negative
210,0.55,0.54,0.56,0.22,0.5,0.0,0.5,0.37,negative
211,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,negative
212,0.38,0.48,0.59,0.22,0.5,0.0,0.46,0.22,negative
213,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,negative
214,0.6,0.56,0.47,0.2,0.5,0.0,0.5,0.38,negative
215,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,negative
216,0.47,0.65,0.54,0.62,0.5,0.0,0.53,0.36,negative
217,0.43,0.39,0.54,0.14,0.5,0.0,0.47,0.22,negative
218,0.5,0.51,0.52,0.09,0.5,0.0,0.48,0.25,negative
219,0.53,0.61,0.52,0.21,0.5,0.0,0.55,0.3,negative
220,0.54,0.42,0.41,0.16,0.5,0.0,0.52,0.22,negative
221,0.46,0.35,0.53,0.16,0.5,0.0,0.51,0.29,negative
222,0.46,0.43,0.49,0.79,0.5,0.0,0.49,0.63,negative
223,0.61,0.3,0.59,0.12,0.5,0.0,0.49,0.27,negative
224,0.37,0.53,0.46,0.23,0.5,0.0,0.47,0.22,negative
225,0.83,0.58,0.33,0.04,0.5,0.0,0.53,0.22,negative
226,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,negative
227,0.52,0.54,0.5,0.21,0.5,0.0,0.48,0.3,negative
228,0.35,0.39,0.57,0.11,0.5,0.0,0.48,0.22,negative
229,0.36,0.49,0.3,0.22,0.5,0.0,0.52,0.31,negative
230,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,negative
231,0.45,0.56,0.54,0.32,0.5,0.0,0.57,0.22,negative
232,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,negative
233,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,negative
234,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,negative
235,0.59,0.58,0.46,0.19,0.5,0.0,0.56,0.27,negative
236,0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,negative
237,0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,negative
238,0.63,0.61,0.41,0.22,0.5,0.0,0.51,0.22,negative
239,0.58,0.53,0.38,0.18,0.5,0.0,0.52,0.22,negative
240,0.36,0.46,0.43,0.19,0.5,0.0,0.48,0.22,negative
241,0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,negative
242,0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,negative
243,0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,negative
244,0.53,0.68,0.42,0.19,0.5,0.0,0.53,0.22,negative
245,0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,negative
246,0.55,0.46,0.46,0.31,0.5,0.0,0.58,0.48,negative
247,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,negative
248,0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,negative
249,0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,negative
250,0.35,0.46,0.49,0.15,1.0,0.0,0.55,0.35,negative
251,0.43,0.51,0.48,0.14,0.5,0.0,0.5,0.22,negative
252,0.63,0.62,0.42,0.12,0.5,0.0,0.52,0.25,negative
253,0.25,0.4,0.51,0.18,0.5,0.0,0.5,0.27,negative
254,0.56,0.62,0.53,0.24,0.5,0.0,0.57,0.22,negative
255,0.58,0.6,0.51,0.24,0.5,0.0,0.53,0.22,negative
256,0.39,0.44,0.28,0.12,0.5,0.0,0.46,0.27,negative
257,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,negative
258,0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,negative
259,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,negative
260,0.35,0.36,0.57,0.17,0.5,0.0,0.52,0.22,negative
261,0.74,0.72,0.47,0.25,0.5,0.0,0.57,0.22,positive
262,0.54,0.57,0.52,0.19,0.5,0.0,0.59,0.67,negative
263,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,negative
264,0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,positive
265,0.81,0.9,0.39,0.41,0.5,0.0,0.53,0.22,negative
266,0.45,0.4,0.56,0.14,0.5,0.0,0.54,0.22,negative
267,0.41,0.39,0.51,0.52,0.5,0.0,0.49,0.22,negative
268,0.37,0.34,0.32,0.22,0.5,0.0,0.56,0.22,negative
269,0.69,0.6,0.5,0.31,0.5,0.0,0.55,0.22,negative
270,0.35,0.56,0.36,0.3,0.5,0.0,0.53,0.25,negative
271,0.84,0.66,0.36,0.78,0.5,0.0,0.49,0.5,positive
272,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,negative
273,0.48,0.35,0.42,0.21,0.5,0.0,0.57,0.22,negative
274,0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,negative
275,0.44,0.51,0.37,0.15,0.5,0.0,0.51,0.22,negative
276,0.44,0.44,0.49,0.15,0.5,0.0,0.46,0.27,negative
277,0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,negative
278,0.35,0.68,0.57,0.4,0.5,0.0,0.53,0.36,negative
279,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,negative
280,0.45,0.42,0.52,0.2,0.5,0.0,0.5,0.25,negative
281,0.51,0.35,0.46,0.15,0.5,0.0,0.51,0.42,negative
282,0.42,0.39,0.47,0.13,0.5,0.0,0.5,0.27,negative
283,0.59,0.65,0.52,0.3,0.5,0.0,0.46,0.31,negative
284,0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,negative
285,0.37,0.33,0.5,0.12,0.5,0.0,0.51,0.54,negative
286,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,negative
287,0.31,0.31,0.54,0.18,0.5,0.0,0.52,0.29,negative
288,0.27,0.51,0.47,0.35,0.5,0.0,0.49,0.28,negative
289,0.54,0.56,0.57,0.18,0.5,0.0,0.45,0.25,negative
290,0.17,0.38,0.45,0.09,0.5,0.0,0.54,0.27,negative
291,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,negative
292,0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,negative
293,0.91,0.69,0.57,0.45,0.5,0.0,0.56,0.22,negative
294,0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,negative
295,0.59,0.43,0.52,0.19,0.5,0.0,0.55,0.27,negative
296,0.64,0.53,0.45,0.13,0.5,0.0,0.53,0.22,negative
297,0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,negative
