,Mcg,Gvh,Alm,Mit,Erl,Pox,Vac,Nuc,result
913,0.38,0.58,0.46,0.21,0.5,0.0,0.52,0.22,0
178,0.47,0.54,0.37,0.14,0.5,0.0,0.5,0.22,0
369,0.5,0.53,0.45,0.44,0.5,0.0,0.49,0.22,0
974,0.25,0.48,0.45,0.32,0.5,0.0,0.4,0.22,0
97,0.47,0.47,0.57,0.48,0.5,0.0,0.48,0.22,0
992,0.61,0.52,0.5,0.44,0.5,0.0,0.53,0.22,0
1347,0.45,0.47,0.53,0.15,0.5,0.0,0.52,0.27,0
1346,0.41,0.53,0.41,0.15,0.5,0.0,0.54,0.25,0
234,0.54,0.65,0.49,0.34,0.5,0.0,0.52,0.22,0
804,0.32,0.44,0.54,0.21,0.5,0.0,0.4,0.19,0
357,0.41,0.43,0.5,0.28,0.5,0.0,0.5,0.22,0
215,0.41,0.24,0.54,0.26,0.5,0.0,0.41,0.22,0
725,0.35,0.42,0.56,0.28,0.5,0.0,0.47,0.22,0
1259,0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,0
524,0.44,0.53,0.53,0.37,0.5,0.0,0.51,0.22,0
200,0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,0
896,0.55,0.4,0.62,0.22,0.5,0.0,0.37,0.28,0
118,0.43,0.57,0.53,0.16,0.5,0.0,0.54,0.22,0
673,0.32,0.48,0.49,0.17,0.5,0.0,0.47,0.22,0
1087,0.57,0.53,0.6,0.28,0.5,0.0,0.52,0.45,0
649,0.25,0.39,0.5,0.23,0.5,0.0,0.5,0.28,0
1388,0.35,0.39,0.56,0.2,0.5,0.0,0.49,0.41,0
1228,0.67,0.68,0.46,0.29,0.5,0.0,0.46,0.22,0
915,0.37,0.29,0.45,0.15,0.5,0.0,0.49,0.22,0
1027,0.42,0.45,0.75,0.21,0.5,0.0,0.48,0.22,0
740,0.5,0.36,0.64,0.37,0.5,0.0,0.37,0.33,0
312,0.4,0.34,0.52,0.17,0.5,0.0,0.47,0.51,0
169,0.5,0.4,0.56,0.7,0.5,0.0,0.5,0.22,0
1333,0.61,0.46,0.44,0.47,0.5,0.0,0.5,0.37,0
516,0.51,0.56,0.62,0.24,0.5,0.0,0.52,0.51,0
88,0.44,0.59,0.36,0.16,0.5,0.0,0.52,0.22,0
1360,0.5,0.62,0.52,0.3,0.5,0.0,0.56,0.22,0
1067,0.6,0.37,0.52,0.15,0.5,0.0,0.55,0.26,0
121,0.58,0.5,0.5,0.12,0.5,0.0,0.48,0.25,0
14,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4,0
172,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,0
1083,0.45,0.51,0.43,0.22,0.5,0.0,0.57,0.22,0
884,0.19,0.16,0.68,0.36,0.5,0.0,0.49,0.21,0
71,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,0
607,0.48,0.45,0.59,0.35,0.5,0.0,0.55,0.3,0
462,0.34,0.54,0.54,0.13,0.5,0.0,0.52,0.22,0
148,0.54,0.38,0.52,0.18,0.5,0.0,0.48,0.22,0
932,0.5,0.52,0.51,0.22,0.5,0.0,0.46,0.37,0
429,0.44,0.53,0.43,0.17,0.5,0.0,0.54,0.75,0
58,0.48,0.42,0.52,0.24,0.5,0.0,0.56,0.22,0
1310,0.55,0.5,0.6,0.31,0.5,0.0,0.46,0.27,0
689,0.6,0.59,0.47,0.47,0.5,0.0,0.53,0.22,0
813,0.57,0.48,0.54,0.22,0.5,0.0,0.5,0.11,0
404,0.38,0.49,0.54,1.0,0.5,0.0,0.5,0.27,0
1283,0.89,0.77,0.36,0.34,0.5,0.0,0.44,0.22,0
326,0.53,0.43,0.47,0.15,0.5,0.0,0.58,0.22,0
332,0.48,0.57,0.5,0.09,0.5,0.0,0.52,0.42,0
597,0.37,0.42,0.6,0.13,0.5,0.0,0.51,0.22,0
452,0.49,0.44,0.45,0.22,0.5,0.0,0.51,0.22,0
390,0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,0
807,0.42,0.5,0.64,0.13,0.5,0.0,0.49,0.22,0
383,0.59,0.57,0.46,0.14,0.5,0.0,0.52,0.22,0
818,0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,0
450,0.51,0.47,0.41,0.44,0.5,0.0,0.5,0.22,0
738,0.37,0.58,0.5,0.22,0.5,0.0,0.47,0.22,0
213,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,0
1030,0.54,0.43,0.48,0.27,0.5,0.0,0.44,0.41,0
822,0.49,0.4,0.58,0.23,0.5,0.0,0.47,0.27,0
419,0.43,0.38,0.51,0.24,0.5,0.0,0.46,0.33,0
1374,0.54,0.55,0.56,0.14,0.5,0.0,0.5,0.25,0
1032,0.55,0.39,0.39,0.47,0.5,0.0,0.5,0.83,0
1023,0.44,0.49,0.49,0.27,0.5,0.0,0.52,0.22,0
802,0.52,0.43,0.61,0.22,0.5,0.0,0.45,0.22,0
1133,0.38,0.56,0.38,0.16,0.5,0.0,0.53,0.22,0
206,0.27,0.36,0.6,0.33,0.5,0.0,0.37,0.31,0
829,0.39,0.46,0.33,0.18,0.5,0.0,0.53,0.22,0
1175,0.38,0.47,0.47,0.18,0.5,0.0,0.44,0.26,0
1279,0.42,0.32,0.61,0.13,0.5,0.0,0.14,0.27,0
1292,0.62,0.64,0.56,0.2,0.5,0.0,0.48,0.33,0
12,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22,0
432,0.78,0.48,0.47,0.3,0.5,0.0,0.53,0.47,0
523,0.41,0.47,0.58,0.62,0.5,0.0,0.5,0.22,0
491,0.6,0.57,0.64,0.52,0.5,0.0,0.47,0.28,0
56,0.47,0.39,0.59,0.15,0.5,0.0,0.57,0.22,0
561,0.45,0.41,0.58,0.48,0.5,0.0,0.53,0.64,0
667,0.33,0.39,0.52,0.09,0.5,0.0,0.47,0.28,0
761,0.37,0.45,0.53,0.14,0.5,0.0,0.49,0.22,0
1220,0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,0
1203,0.36,0.46,0.62,0.46,0.5,0.0,0.51,0.33,0
1436,0.31,0.31,0.57,0.15,0.5,0.0,0.5,0.22,0
1396,0.53,0.57,0.6,0.36,0.5,0.0,0.5,0.22,0
816,0.53,0.57,0.6,0.36,0.5,0.0,0.5,0.22,0
614,0.46,0.46,0.53,0.23,0.5,0.0,0.51,0.22,0
986,0.62,0.42,0.47,0.16,0.5,0.0,0.52,0.22,0
682,0.37,0.44,0.51,0.56,0.5,0.0,0.5,0.38,0
160,0.72,0.62,0.34,0.29,0.5,0.0,0.56,0.28,0
782,0.43,0.33,0.67,0.12,0.5,0.0,0.43,0.23,0
1209,0.54,0.55,0.34,0.31,0.5,0.0,0.54,0.22,0
198,0.44,0.68,0.45,0.51,0.5,0.0,0.52,0.41,0
619,0.74,0.72,0.5,0.28,0.5,0.0,0.5,0.27,0
1011,0.44,0.54,0.51,0.16,0.5,0.0,0.58,0.22,0
1248,0.46,0.48,0.44,0.21,0.5,0.0,0.55,0.22,0
302,0.44,0.34,0.55,0.18,0.5,0.0,0.52,0.22,0
1261,0.56,0.57,0.63,0.39,1.0,0.0,0.59,0.4,0
431,0.52,0.49,0.57,0.57,0.5,0.0,0.51,0.22,0
1000,0.63,0.58,0.57,0.1,0.5,0.0,0.52,0.33,0
442,0.41,0.41,0.51,0.19,0.5,0.0,0.57,0.22,0
1323,0.78,0.63,0.53,0.13,0.5,0.0,0.54,0.22,0
1415,0.6,0.64,0.56,0.36,0.5,0.0,0.46,0.27,0
1274,0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,0
233,0.52,0.75,0.37,0.14,0.5,0.0,0.46,0.22,0
1126,0.28,0.48,0.36,0.16,0.5,0.0,0.53,0.22,0
1380,0.38,0.44,0.55,0.44,0.5,0.0,0.47,0.51,0
1457,0.51,0.49,0.48,0.55,0.5,0.0,0.52,0.58,0
902,0.36,0.32,0.55,0.27,0.5,0.0,0.47,0.43,0
232,0.45,0.56,0.53,0.32,0.5,0.0,0.57,0.22,0
503,0.58,0.53,0.57,0.46,0.5,0.0,0.51,0.27,0
671,0.68,0.39,0.5,0.15,0.5,0.0,0.48,0.37,0
294,0.38,0.47,0.53,0.12,0.5,0.0,0.48,0.22,0
485,0.41,0.54,0.58,0.2,0.5,0.0,0.52,0.22,0
888,0.48,0.55,0.58,0.18,0.5,0.0,0.38,0.69,0
669,0.3,0.3,0.46,0.32,0.5,0.0,0.45,0.22,0
61,0.46,0.49,0.58,0.23,0.5,0.0,0.44,0.22,0
1074,0.56,0.68,0.42,0.36,0.5,0.0,0.49,0.22,0
1224,0.52,0.51,0.51,0.54,0.5,0.0,0.55,0.27,0
483,0.39,0.3,0.56,0.12,0.5,0.0,0.53,0.38,0
201,0.34,0.42,0.3,0.23,0.5,0.0,0.53,0.22,0
242,0.34,0.38,0.45,0.19,0.5,0.0,0.51,0.22,0
826,0.59,0.54,0.53,0.14,0.5,0.0,0.48,0.22,0
660,0.55,0.63,0.54,0.16,0.5,0.0,0.45,0.27,0
573,0.48,0.49,0.45,0.23,0.5,0.0,0.51,0.22,0
536,0.51,0.46,0.54,0.41,0.5,0.0,0.53,0.22,0
610,0.62,0.43,0.49,0.29,0.5,0.0,0.5,0.27,0
1226,0.52,0.77,0.38,0.34,0.5,0.0,0.51,0.22,0
1317,0.57,0.4,0.48,0.24,0.5,0.0,0.55,0.22,0
747,0.43,0.33,0.54,0.37,0.5,0.0,0.38,0.16,0
111,0.34,0.54,0.5,0.21,0.5,0.0,0.54,0.31,0
718,0.66,0.55,0.54,0.18,0.5,0.0,0.43,0.22,0
1293,0.46,0.32,0.58,0.17,0.5,0.0,0.61,0.25,0
7,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22,0
65,0.63,0.57,0.59,0.4,0.5,0.0,0.38,0.22,0
471,0.37,0.31,0.53,0.16,0.5,0.0,0.53,0.44,0
1235,0.51,0.53,0.55,0.14,0.5,0.0,0.51,0.22,0
780,0.63,0.64,0.45,0.26,0.5,0.0,0.43,0.22,0
286,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,0
197,0.45,0.27,0.57,0.36,0.5,0.0,0.52,0.18,0
938,0.53,0.48,0.51,0.18,0.5,0.0,0.51,0.27,0
211,0.36,0.24,0.49,0.16,0.5,0.0,0.51,0.22,0
1354,0.48,0.56,0.49,0.32,0.5,0.0,0.5,0.22,0
830,0.52,0.54,0.47,0.49,0.5,0.0,0.54,0.22,0
1289,0.46,0.4,0.38,0.18,0.5,0.0,0.49,0.22,0
57,0.81,0.85,0.47,0.37,0.5,0.0,0.56,0.22,0
855,0.52,0.55,0.39,0.09,1.0,0.0,0.55,0.25,0
1225,0.46,0.43,0.38,0.33,0.5,0.0,0.48,0.28,0
1057,0.6,0.57,0.63,0.22,0.5,0.0,0.5,0.49,0
560,0.51,0.34,0.49,0.16,0.5,0.0,0.53,0.21,0
1254,0.6,0.6,0.49,0.3,0.5,0.0,0.53,0.22,0
156,0.44,0.42,0.6,0.21,0.5,0.0,0.57,0.22,0
519,0.58,0.57,0.54,0.69,0.5,0.0,0.54,0.22,0
590,0.51,0.46,0.57,0.25,0.5,0.0,0.53,0.22,0
488,0.5,0.46,0.64,0.36,0.5,0.0,0.49,0.22,0
796,0.73,0.6,0.47,0.2,0.5,0.0,0.72,0.22,0
911,0.66,0.65,0.54,0.4,0.5,0.0,0.51,0.22,0
805,0.48,0.41,0.52,0.33,0.5,0.0,0.51,0.26,0
391,0.65,0.61,0.39,0.3,0.5,0.0,0.57,0.28,0
947,0.25,0.42,0.21,0.14,0.5,0.0,0.41,0.22,0
411,0.52,0.48,0.54,0.28,0.5,0.0,0.54,0.22,0
664,0.45,0.48,0.56,0.56,0.5,0.0,0.47,0.22,0
1095,0.32,0.3,0.57,0.38,0.5,0.0,0.5,0.25,0
1431,0.41,0.39,0.61,0.17,0.5,0.0,0.5,0.61,0
1059,0.48,0.39,0.56,0.23,0.5,0.0,0.6,0.22,0
1305,0.6,0.62,0.54,0.4,0.5,0.0,0.5,0.22,0
1455,0.5,0.47,0.45,0.14,0.5,0.0,0.53,0.32,0
1309,0.44,0.44,0.67,0.35,0.5,0.0,0.48,0.26,0
700,0.33,0.28,0.5,0.4,0.5,0.0,0.46,0.61,0
1106,0.29,0.39,0.46,0.36,0.5,0.0,0.51,0.22,0
858,0.48,0.5,0.47,0.29,0.5,0.0,0.46,0.27,0
1421,0.44,0.59,0.54,0.18,0.5,0.0,0.49,0.22,0
1237,0.51,0.55,0.35,0.16,0.5,0.0,0.51,0.47,0
837,0.55,0.52,0.44,0.2,0.5,0.0,0.56,0.22,0
1174,0.39,0.58,0.47,0.18,0.5,0.0,0.48,0.22,0
845,0.44,0.71,0.5,0.21,0.5,0.0,0.54,0.27,0
799,0.44,0.62,0.53,0.27,0.5,0.0,0.49,0.22,0
208,0.42,0.32,0.5,0.21,0.5,0.0,0.51,0.22,0
407,0.27,0.56,0.56,0.18,0.5,0.0,0.52,0.22,0
82,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,0
393,0.42,0.25,0.6,0.14,0.5,0.0,0.45,0.22,0
230,0.55,0.46,0.53,0.11,0.5,0.0,0.52,0.48,0
1373,0.45,0.52,0.5,0.12,0.5,0.0,0.6,0.22,0
1005,0.42,0.5,0.59,0.17,0.5,0.0,0.51,0.22,0
1469,0.43,0.6,0.4,0.12,0.5,0.0,0.49,0.29,0
1071,0.5,0.55,0.52,0.16,0.5,0.0,0.51,0.31,0
272,0.51,0.58,0.54,0.29,0.5,0.0,0.53,0.22,0
824,0.34,0.25,0.55,0.28,0.5,0.0,0.51,0.49,0
279,0.23,0.3,0.58,0.22,0.5,0.0,0.48,0.27,0
1161,0.3,0.37,0.4,0.45,0.5,0.0,0.48,0.41,0
1461,0.4,0.36,0.32,0.16,0.5,0.0,0.51,0.27,0
603,0.4,0.36,0.55,0.15,0.5,0.0,0.53,0.22,0
1476,0.38,0.44,0.57,0.14,0.5,0.0,0.53,0.52,0
1117,0.35,0.32,0.31,0.16,0.5,0.0,0.56,0.22,0
976,0.61,0.54,0.54,0.38,0.5,0.0,0.54,0.29,0
1196,0.64,0.56,0.56,0.22,0.5,0.0,0.45,0.22,0
402,0.36,0.35,0.47,0.22,0.5,0.0,0.44,0.31,0
786,0.4,0.45,0.61,0.29,0.5,0.0,0.44,0.22,0
661,0.42,0.53,0.57,0.17,0.5,0.0,0.49,0.22,0
663,0.33,0.35,0.56,0.19,0.5,0.0,0.5,0.22,0
779,0.63,0.64,0.45,0.26,0.5,0.0,0.43,0.22,0
378,0.43,0.51,0.6,0.25,0.5,0.0,0.55,0.22,0
1442,0.53,0.51,0.54,0.21,0.5,0.0,0.45,0.22,0
585,0.45,0.46,0.61,0.2,0.5,0.0,0.62,0.22,0
1009,0.32,0.32,0.52,0.18,0.5,0.0,0.48,0.34,0
1197,0.53,0.44,0.51,0.33,0.5,0.0,0.55,0.22,0
606,0.75,0.6,0.43,0.35,0.5,0.0,0.45,0.27,0
375,0.51,0.34,0.43,0.18,0.5,0.0,0.48,0.25,0
584,0.5,0.51,0.57,0.27,0.5,0.0,0.48,0.22,0
1038,0.79,0.56,0.53,0.19,0.5,0.0,0.47,0.35,0
1006,0.54,0.55,0.55,0.4,0.5,0.0,0.53,0.22,0
1156,0.47,0.5,0.6,0.63,0.5,0.0,0.38,0.16,0
716,0.4,0.6,0.5,0.16,0.5,0.0,0.51,0.22,0
653,0.46,0.37,0.48,0.36,0.5,0.0,0.48,0.22,0
1176,0.63,0.57,0.5,0.48,0.5,0.0,0.51,0.22,0
1275,0.42,0.44,0.33,0.17,0.5,0.0,0.54,0.27,0
85,0.47,0.52,0.5,0.4,0.5,0.0,0.41,0.22,0
525,0.47,0.46,0.55,0.28,0.5,0.0,0.44,0.46,0
539,0.37,0.51,0.57,0.4,0.5,0.0,0.48,0.27,0
493,0.41,0.52,0.53,0.41,0.5,0.0,0.39,0.33,0
906,0.52,0.47,0.58,0.18,0.5,0.0,0.34,0.11,0
499,0.6,0.46,0.59,0.16,0.5,0.0,0.49,0.22,0
1365,0.43,0.41,0.51,0.34,0.5,0.0,0.49,0.28,0
1453,0.4,0.28,0.58,0.44,0.5,0.0,0.41,0.22,0
468,0.45,0.48,0.63,0.67,0.5,0.0,0.48,0.22,0
66,0.48,0.45,0.55,0.5,0.5,0.0,0.53,0.22,0
184,0.69,0.61,0.38,0.27,0.5,0.0,0.52,0.22,0
424,0.54,0.54,0.49,0.14,0.5,0.0,0.56,0.22,0
1335,0.45,0.53,0.47,0.43,0.5,0.0,0.5,0.27,0
291,0.43,0.51,0.54,0.15,0.5,0.0,0.45,0.26,0
1183,0.38,0.4,0.66,0.35,0.5,0.0,0.43,0.11,0
1308,0.45,0.43,0.63,0.4,0.5,0.0,0.59,0.11,0
309,0.3,0.5,0.47,0.11,0.5,0.0,0.46,0.22,0
933,0.56,0.52,0.46,0.17,0.5,0.0,0.49,0.73,0
67,0.5,0.58,0.46,0.46,0.5,0.0,0.46,0.22,0
949,0.49,0.31,0.43,0.24,0.5,0.0,0.54,0.22,0
644,0.37,0.51,0.39,0.18,0.5,0.0,0.51,0.27,0
674,0.34,0.35,0.58,0.2,0.5,0.0,0.46,0.32,0
1131,0.38,0.37,0.36,0.14,0.5,0.0,0.54,0.22,0
443,0.81,0.65,0.52,0.41,0.5,0.0,0.57,0.26,0
382,0.58,0.55,0.52,0.22,0.5,0.0,0.44,0.22,0
1051,0.59,0.7,0.46,0.19,0.5,0.0,0.54,0.44,0
1319,0.41,0.59,0.46,0.19,0.5,0.0,0.36,0.22,0
364,0.45,0.54,0.54,0.62,0.5,0.0,0.53,0.22,0
316,0.41,0.6,0.53,0.29,0.5,0.0,0.47,0.43,0
1313,0.51,0.56,0.51,0.42,0.5,0.0,0.53,0.36,0
928,0.31,0.5,0.54,0.32,0.5,0.0,0.53,0.31,0
979,0.55,0.38,0.52,0.16,0.5,0.0,0.49,0.64,0
1111,0.71,0.51,0.49,0.23,0.5,0.0,0.3,0.32,0
1358,0.46,0.43,0.5,0.24,0.5,0.0,0.48,0.31,0
30,0.33,0.55,0.51,0.43,0.5,0.0,0.51,0.22,0
946,0.41,0.42,0.23,0.16,0.5,0.0,0.4,0.22,0
457,0.68,0.68,0.49,0.15,0.5,0.0,0.53,0.22,0
557,0.3,0.55,0.58,0.16,0.5,0.0,0.61,0.28,0
1264,0.48,0.34,0.47,0.14,0.5,0.0,0.47,0.26,0
1479,0.36,0.48,0.61,0.26,0.5,0.0,0.5,0.16,0
15,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26,0
1097,0.45,0.5,0.43,0.16,0.5,0.0,0.52,0.28,0
931,0.61,0.5,0.61,0.21,0.5,0.0,0.55,0.54,0
955,0.49,0.55,0.41,0.19,0.5,0.0,0.48,0.31,0
348,0.55,0.53,0.56,0.29,0.5,0.0,0.48,0.22,0
1113,0.58,0.63,0.52,0.7,0.5,0.0,0.46,0.22,0
552,0.35,0.44,0.54,0.26,0.5,0.0,0.52,0.26,0
1473,0.64,0.44,0.56,0.15,0.5,0.0,0.56,0.22,0
124,0.45,0.43,0.51,0.24,0.5,0.0,0.54,0.33,0
433,0.49,0.62,0.65,0.18,0.5,0.0,0.46,0.43,0
243,0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,0
39,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,0
1312,0.58,0.53,0.5,0.53,0.5,0.0,0.47,0.31,0
324,0.35,0.4,0.53,0.18,0.5,0.0,0.42,0.38,0
695,0.57,0.6,0.54,0.17,0.5,0.0,0.52,0.22,0
1269,0.37,0.62,0.34,0.25,0.5,0.0,0.51,0.22,0
852,0.37,0.42,0.46,0.15,0.5,0.0,0.51,0.31,0
827,0.5,0.48,0.48,0.23,0.5,0.0,0.53,0.68,0
1265,0.44,0.42,0.62,0.14,0.5,0.0,0.55,0.37,0
809,0.39,0.65,0.57,0.19,0.5,0.0,0.44,0.25,0
1062,0.55,0.49,0.6,0.18,0.5,0.0,0.51,0.22,0
258,0.81,0.82,0.41,0.36,0.5,0.0,0.39,0.22,0
629,0.5,0.42,0.57,0.49,0.5,0.0,0.48,0.27,0
420,0.48,0.57,0.52,0.61,0.5,0.0,0.51,0.22,0
1389,0.48,0.55,0.48,0.1,0.5,0.0,0.55,0.22,0
892,0.25,0.35,0.22,0.18,0.5,0.0,0.46,0.22,0
634,0.77,0.73,0.51,0.27,0.5,0.0,0.34,0.22,0
591,0.49,0.45,0.46,0.18,0.5,0.0,0.49,0.31,0
241,0.32,0.47,0.55,0.12,0.5,0.0,0.52,0.22,0
711,0.48,0.47,0.59,0.41,0.5,0.0,0.56,0.27,0
792,0.56,0.35,0.47,0.35,0.5,0.0,0.52,0.22,0
1172,0.32,0.29,0.29,0.08,0.5,0.0,0.52,0.22,0
477,0.46,0.55,0.61,0.13,0.5,0.0,0.47,0.22,0
365,0.51,0.43,0.63,0.18,0.5,0.0,0.52,0.22,0
965,0.58,0.64,0.42,0.3,0.5,0.0,0.54,0.22,0
670,0.38,0.26,0.6,0.1,0.5,0.0,0.48,0.44,0
237,0.55,0.56,0.45,0.14,0.5,0.0,0.54,0.22,0
724,0.45,0.66,0.39,0.11,0.5,0.0,0.54,0.22,0
677,0.4,0.28,0.48,0.06,0.5,0.0,0.49,0.42,0
1439,0.41,0.46,0.57,0.25,0.5,0.0,0.57,0.38,0
767,0.46,0.35,0.69,0.18,0.5,0.0,0.3,0.25,0
1173,0.38,0.48,0.57,0.3,0.5,0.0,0.41,0.11,0
1349,0.46,0.62,0.54,0.25,0.5,0.0,0.46,0.22,0
862,0.7,0.78,0.53,0.24,0.5,0.0,0.48,0.22,0
1371,0.35,0.4,0.44,0.25,0.5,0.0,0.53,0.57,0
945,0.19,0.66,0.6,0.14,0.5,0.0,0.2,0.25,0
556,0.44,0.34,0.61,0.13,0.5,0.0,0.49,0.26,0
545,0.33,0.46,0.53,0.29,0.5,0.0,0.5,0.55,0
1045,0.36,0.52,0.61,0.33,0.5,0.0,0.52,0.37,0
59,0.6,0.5,0.44,0.61,0.5,0.0,0.47,0.22,0
662,0.53,0.43,0.57,0.24,0.5,0.0,0.39,0.28,0
1295,0.47,0.54,0.54,0.48,0.5,0.0,0.53,0.26,0
99,0.64,0.62,0.29,0.28,0.5,0.0,0.51,0.22,0
776,0.37,0.44,0.64,0.48,0.5,0.0,0.36,0.27,0
749,0.51,0.39,0.58,0.19,0.5,0.0,0.47,0.22,0
596,0.41,0.48,0.38,0.13,0.5,0.0,0.51,0.35,0
1155,0.52,0.46,0.34,0.2,0.5,0.0,0.51,0.25,0
1208,0.47,0.41,0.66,0.26,0.5,0.0,0.53,0.22,0
991,0.57,0.35,0.5,0.43,0.5,0.0,0.53,0.22,0
83,0.36,0.58,0.35,0.24,0.5,0.0,0.44,0.22,0
717,0.61,0.46,0.54,0.11,0.5,0.0,0.47,0.22,0
248,0.77,0.8,0.51,0.4,1.0,0.0,0.54,0.22,0
1167,0.74,0.75,0.45,0.44,0.5,0.0,0.52,0.22,0
342,0.5,0.45,0.49,0.15,0.5,0.0,0.55,0.43,0
569,0.78,0.65,0.4,0.16,0.5,0.0,0.63,0.22,0
501,0.53,0.52,0.61,0.35,0.5,0.0,0.5,0.22,0
247,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,0
548,0.11,0.41,0.67,0.13,0.5,0.0,0.45,0.29,0
518,0.46,0.44,0.53,0.31,0.5,0.0,0.48,0.22,0
205,0.36,0.68,0.38,0.08,0.5,0.0,0.53,0.25,0
1465,0.64,0.56,0.52,0.17,0.5,0.0,0.54,0.47,0
343,0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,0
307,0.74,0.53,0.5,0.08,0.5,0.0,0.55,0.31,0
953,0.4,0.65,0.38,0.17,0.5,0.0,0.57,0.22,0
948,0.7,0.58,0.53,0.39,0.5,0.0,0.59,0.22,0
1325,0.49,0.44,0.51,0.18,0.5,0.0,0.52,0.27,0
956,0.3,0.45,0.55,0.19,0.5,0.0,0.53,0.4,0
337,0.37,0.22,0.64,0.35,0.5,0.0,0.47,0.22,0
1238,0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,0
1107,0.4,0.4,0.43,0.19,0.5,0.83,0.48,0.22,0
732,0.6,0.48,0.46,0.32,0.5,0.0,0.4,0.33,0
131,0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,0
1340,0.5,0.57,0.62,0.25,0.5,0.0,0.51,0.22,0
18,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,0
1112,0.59,0.48,0.49,0.49,0.5,0.0,0.36,0.32,0
642,0.39,0.49,0.3,0.19,0.5,0.0,0.52,0.31,0
346,0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,0
75,0.4,0.45,0.56,0.2,0.5,0.0,0.45,0.22,0
1200,0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,0
263,0.42,0.52,0.4,0.17,0.5,0.0,0.5,0.26,0
864,0.56,0.59,0.45,0.15,0.5,0.0,0.54,0.22,0
562,0.9,0.54,0.59,0.2,0.5,0.0,0.48,0.22,0
870,0.42,0.42,0.55,0.31,0.5,0.0,0.43,0.22,0
27,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32,0
476,0.66,0.54,0.49,0.16,0.5,0.0,0.54,0.36,0
1211,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,0
613,0.41,0.48,0.54,0.24,0.5,0.0,0.37,0.51,0
1157,0.34,0.24,0.51,0.15,0.5,0.0,0.54,0.4,0
618,0.48,0.46,0.58,0.26,0.5,0.0,0.44,0.22,0
1341,0.38,0.45,0.37,0.19,0.5,0.0,0.52,0.3,0
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22,0
